seller,seller return rate,seller rating,Number of units sold,Number of Units Returned,brand,product type,listing price
7990,1,0.07,1,1,versace,jackets/vests,333
6844,1,0.19,3,3,saks fifth avenue,modern knits,111
13851,1,0.7,1,1,saks fifth avenue,modern knits,111
1142,1,0.03,4,4,commando,commando/herlook (intimates),48
5957,1,0.13,1,1,badgley mischka,cocktail dress,385
2773,1,0.16,1,1,ere perez,ere perez cosmetics,27
8926,1,0.33,1,1,cellcosmet switzerland,face cellcosmet,284
6480,1,0.26,1,1,farm rio,outerwear,326
6811,1,0.72,1,1,canali,canali trousers,277
12369,1,0.49,1,1,good american,bodysuit,62
9938,1,0.06,2,2,bella cucina,gourmet,207
10519,1,0.44,1,1,"cufflinks, inc.",cufflinks inc (jewelry),20
4572,1,0.13,1,1,vietri,dropship serveware,14
8097,1,0.13,1,1,norma kamali,cocktail dress,168
9853,1,0.53,1,1,le creuset,dropship kitchenware,53
6865,1,0.78,1,1,aje,dresses,277
3023,1,0.09,1,1,agolde,boyfriend (rtw),132
4521,1,0.3,2,2,tom ford,tom ford beauty lips (cosmetic,39
6296,1,0.23,4,4,zimmermann,dresses,2625
6345,1,0.01,4,4,wardrobe.nyc,dresses,350
1225,1,0.24,1,1,strathberry,strathberry(handbags),291
6830,1,0.21,1,1,strathberry,strathberry(handbags),298
9804,1,0.36,1,1,balmain,pants,837
13696,1,0.04,1,1,givenchy,givenchy mp sh sneakers,697
4070,1,0.17,3,3,sachin & babi,cocktail dress,263
10398,1,0.24,1,1,see by chloe,wedges,333
8707,1,0,1,1,theia,gown,980
12239,1,0.12,1,1,theia,gown,980
12256,1,0.54,1,1,versace jeans couture,knits,228
13741,1,0.22,1,1,loeffler randall,headbands,46
13770,1,0.2,1,1,loeffler randall,headbands,46
12404,1,0.27,2,2,design history,knits,78
5082,1,0.19,1,1,chantelle,basic brief/foundations,14
6826,1,0.17,1,1,billionaire boys club,sweatpants,91
2019,1,0.17,1,1,good american,straight,97
9058,1,0.01,1,1,veronica beard,dresses,279
11939,1,0.02,2,2,birkenstock,flat sandals,112
2245,1,0.07,1,1,staud,knits,137
4853,1,0.16,1,1,chloe,knit,907
1208,1,0.07,5,5,coach,booties,186
6326,1,0.05,1,1,lilly pulitzer,knits,83
5144,1,0.06,1,1,norma kamali,1 pc bathing suit,112
5190,1,0.11,1,1,vix by paula hermanny,1 pc bathing suit,188
6846,1,0.72,1,1,poupette st barth,dresses,224
9838,1,0.31,1,1,poupette st barth,dresses,224
13765,1,0.6,1,1,canali,dress shirt,200
2844,1,0.17,4,4,the fur salon,shearling jacket,1397
9888,1,0.13,1,1,la rochere,dropship serveware,39
2582,1,0.05,1,1,donna karan new york,dresses,207
6218,1,0.13,1,1,chloe,sneakers,417
10084,1,0.62,1,1,alemais,dresses,452
5249,1,0.25,2,2,david yurman,necklaces,263
8659,1,0.17,1,1,mother,knit,298
2584,1,0.29,2,2,farm rio,dresses,154
6899,1,0.2,2,2,bottega veneta,outerwear,1750
13778,1,0.18,2,2,veronica beard,knit,279
8217,1,0.65,1,1,boss,clothing,97
10822,1,0.59,1,1,mac duggal,cocktail dress,279
4340,1,0.19,1,1,laura mercier,skincare,29
9882,1,0.48,1,1,johnny was,blouse,147
10481,1,0.73,1,1,vineyard vines,dresses,188
10045,1,0.22,1,1,see by chloe,see by chloe handbag,270
13746,1,0.23,2,2,chantecaille,foundation (cosmetics),90
4002,1,0.3,1,1,maison margiela,pumps,868
6163,1,0.22,1,1,versace jeans couture,blouse,263
12293,1,0.32,1,1,polo ralph lauren,polo cloth outerwear,419
13863,1,0.71,1,1,boheme,boheme home fragrance,34
9818,1,0.22,1,1,catherine regehr,gown,1715
13710,1,0.25,4,4,jo malone london,jo bath (cometics),34
4231,1,0.26,2,2,moncler,outerwear,809
6852,1,0.76,1,1,kobi halperin,tops,321
12438,1,0.71,1,1,addison ross,dropship frames,60
2359,1,0.09,1,1,raquel allegra,blouse,245
4532,1,0.16,1,1,l'agence,blouse,242
2904,1,0.02,4,4,herno,outerwear,452
2861,1,0.3,2,2,trina turk,dresses,230
6201,1,0.22,1,1,halston,cocktail dress,207
9899,1,0.43,1,1,caroline rose,dresses,182
12179,1,0.2,1,1,akris punto,knit,167
8691,1,0.07,1,1,augustinus bader,skincare,245
97,1,0.03,2,2,akris punto,pants,417
5215,1,0.05,1,1,theory,pants,242
2440,1,0.23,4,4,kartell,decorative home,119
7123,1,0.22,3,3,saint laurent,ysl mp formal shoes,973
1983,1,0.01,1,1,trina turk,tops,160
6493,1,0.4,1,1,anastasia beverly hills,anastasia bh lips,11
6908,1,0.55,1,1,moncler,outerwear,809
8093,1,0.22,1,1,ramy brook,skirt,193
9997,1,0.36,1,1,johnny was,blouse,256
12552,1,0.34,1,1,gia borghini,flip flops,333
10731,1,0.63,1,1,hemant & nandita,dresses,256
12425,1,0.42,1,1,chiara boni la petite robe,cocktail dress,697
4622,1,0.27,5,5,theory,theory trousers,186
1224,1,0.01,4,4,gottex swimwear,1 pc bathing suit,129
12362,1,0.4,1,1,agolde,straight,132
4198,1,0.24,1,1,ferragamo,sneakers,462
4119,1,0.23,2,2,johnny was,blouse,158
924,1,0.22,1,1,moon river,dresses,80
10903,1,0.3,1,1,faithfull the brand,short coverup (swimwear),118
6080,1,0.28,4,4,b-low the belt,b-low the belt,116
10878,1,0.18,3,3,aknvas,dresses,805
2446,1,0.07,2,2,liv foster,cocktail dress,245
797,1,0.17,1,1,badgley mischka,gown,487
8194,1,0.03,1,1,hom,hom underwear,26
11777,1,0.2,1,1,michael michael kors,dresses,88
11005,1,0.69,1,1,l'agence,dresses,315
12865,1,0.13,1,1,off-white,sweatshirt,284
6132,1,0.11,1,1,ba&sh,blouse,168
1226,1,0.19,1,1,gigi new york,gigi new york (handbags),207
4288,1,0.1,1,1,suboo,bathing suit bottom,74
6241,1,0.06,1,1,simon miller,high heel sandals,277
